,event_type,sub_event_type,assoc_actor_1,latitude,longitude,notes,month
80,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),27.7383,66.6433,"On 7 February 2025, relatives, residents, and other Baloch persons staged a protest sit-in at the vegetable market in Khuzdar city (Khuzdar, Balochistan) against the abduction of a woman by claimed pro-government militia members on 6 February 2025 (coded separately). Protesters demanded the police and government authorities to recover the individual, and for action against the abductors. The individual was later recovered on 8 February 2025 by police forces in a claimed search operation after protests in various areas.",2025-02
81,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),29.0266,66.5936,"On 7 February 2025, relatives, residents, members of the Jattak Qaumi Ittehad (an alliance of several religious parties that follow right-wing politics) and other Baloch persons staged protest and blocked National Highway in Kalat city (Kalat, Balochistan) against the abduction of a woman by claimed pro-government militia members on 6 February 2025 (coded separately). Protesters demanded the police and government authorities to recover the individual, and for action against the abductors. The individual was later recovered on 8 February 2025 by police forces in a claimed search operation after protests in various areas.",2025-02
82,Riots,Violent demonstration,Baloch Ethnic Group (Pakistan),28.6463,68.1562,"On 7 February 2025, relatives, residents, and other Baloch persons staged a demonstration and burned tires at Pat Feeder Canal in Naseerabad city (Nasirabad, Balochistan) against the abduction of a woman by claimed pro-government militia members on 6 February 2025 (coded separately). Demonstrators demanded the police and government authorities to recover the individual, and for action against the abductors. The individual was later recovered on 8 February 2025 by police forces in a claimed search operation.",2025-02
83,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),29.7888,67.0443,"On 7 February 2025, relatives, residents, and other Baloch persons staged protest and blocked Quetta-Sukkur National Highway in Dasht area (Mastung, Balochistan) against the abduction of a woman by claimed pro-government militia members on 6 February 2025 (coded separately). Protesters demanded the police and government authorities to recover the individual, and for action against the abductors. The individual was later recovered on 8 February 2025 by police forces in a claimed search operation after protests in various areas.",2025-02
462,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),25.1216,62.3254,"On 5 February 2025, a large number of persons, including women and children, and the family of a missing Baloch person staged protest in Gwadar city (Gwadar, Balochistan) against the enforced disappearance of a Baloch person by military forces on 10 December 2024 (coded separately).",2025-02
464,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),28.5833,65.4167,"On 5 February 2025, relatives and residents staged protest in the Red Zone in Kharan town (Kharan, Balochistan) against the enforced disappearance of two Baloch brothers by military forces (coded separately).",2025-02
465,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),27.7383,66.6433,"On 5 February 2025, relatives and residents staged protest on the Quetta-Karachi Highway in Khuzdar city (Khuzdar, Balochistan) against the enforced disappearance of two Baloch brothers by military forces (coded separately).",2025-02
1349,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),25.0434,66.8187,"On 31 January 2025, relatives and residents staged protest and blocked Karachi-Quetta Highway at Hub Chowki in Hub city (Las Bela, Balochistan) against the enforced disappearance of three Baloch persons (coded separately).",2025-01
1438,Protests,Peaceful protest,Journalists (Pakistan); PFUJ: Pakistan Federal Union of Journalists,30.1999,67.0097,"On 31 January 2025, journalists along with members of the PFUJ held a protest outside the press club in Quetta city (Quetta, Balochistan), against the approval of Pakistan Electronic Crime Amendment Bill 2025.",2025-01
1789,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,27.7383,66.6433,"On 29 January 2025, relatives and local residents alongside BYC activities staged a protest sit-in on the Quetta-Karachi Highway near Gazi area in Khuzdar district (Khuzdar, Balochistan) against the enforced disappearance of a Baloch youth by intelligence agency personnel on 28 January 2025 (coded separately).",2025-01
